Party	Position	Name	Text
국민의힘	위원	유상범	참, 김종민 위원까지 이제…… 그러면 오늘 합시다.
더불어민주당	위원	김종민	아니, 좀 제대로 된 사람을 증인으로 해 봐요.
국민의힘	위원	유상범	아니, 제대로 다 받았잖아요.
더불어민주당	위원	김종민	다른 사람 해요. 다른 사람, 빨리.
국민의힘	위원	조수진	의사진행발언 시작할까요?
더불어민주당	위원장	박광온	조수진 위원님. 잠깐만, 잠깐만요.
더불어민주당	위원	김종민	말이 돼, 이게?
더불어민주당	위원장	박광온	김종민 위원님, 발언권 얻고 발언해 주시기 바랍니다. 먼저 조수진 위원님 하시고, 그다음 박주민 간사님 해 주십시오.
국민의힘	위원	조수진	국민의힘 조수진 위원입니다. 여야 간사가 어렵게 협의도 하고 합의도 해 가지고 오늘 법사위가 열린 걸로 알고 있는데 지금 와 가지고 증인 채택이 어떻고 이 사람은 안 되고, 이런 이야기를 왜 하는 것이지요? 제가 참 이 법사위에 대해서는 할 말이 정말 많습니다만 우리끼리 신뢰라는 건 없지요, 지금. 그러나 그럼에도 불구하고 박주민 간사가 이렇게 합의를 했다고 오늘 법사위 나오라고 해서 지금 어렵게 나온 거예요, 다른 회의 도중에. 그런데 지금 와 가지고 몇 분 위원님들이 ‘이건 안 된다’, 이게 뭐 하는 것입니까? 최소한 내부 조율은 거쳐야 되는 것 아니에요? 간사가 그런 역할 하는 것 아닙니까? 아니, 간사 따로, 위원들 따로 이게 뭐 하는 겁니까, 이게? 물론 이곳 법사위에서는 헌법도 무시하고 검수완박이라는, 법치국가에서 있을 수 없는 초유의 일까지 그것도 일방 처리했는데 적어도 증인 채택 문제에 대해서 지금 또 다른 소리를 해요. 한동훈 후보자 인사청문회 할 겁니까, 안 할 겁니까? 이게 하자는 겁니까? 뭐가 그렇게 두렵습니까? 저는 도무지 더불어민주당 위원들을 이해할 수가 없어요. 최소한 내부 조율을 거쳐서 그것을 더불어민주당의 간사가 우리 쪽 간사하고 협의한 것 아닙니까? 헌법 파괴, 법치 파괴 알아서들 다 하는데 최소한 내부 조율이라도 마치고 하십시오. 그리고 한동훈 후보자의 인사청문회에 대해서 할 건지 말 건지 분명하게 오늘 입장을 다시 정하십시오.
더불어민주당	위원	김종민	위원장님.
더불어민주당	위원장	박광온	아니, 박주민 간사님.
더불어민주당	위원	김종민	제가 먼저…… 간사는 나중에 얘 기하라고 하세요.
더불어민주당	위원장	박광온	김종민 위원님.
더불어민주당	위원	김종민	한동훈 인사청문회 하려고 그래요, 제대로. 제대로 좀 하려고 그럽니다. 걱정하지 마시고. 저는 조수진 위원님께서 법사위에서 서로 신뢰가 없다고 얘기하시는데 저는 국민의힘 위원님들 한 분, 한 분의 발언이나 주장에 대해서는 제가 불신하는 것도 있습니다만 그 사람 자체에 대해서 불신하지는 않습니다. 그래서 저는 그 점에 대해서는 그걸 기정사실화시키는, 우리가 서로 인간적으로 인격적으로 불신한다고 하는 발언에 대해서는 생각을 좀 달리해 주시면 좋겠다는 부탁을 좀 드리고요. 제가 한 가지 여쭤볼게요. 유상범 간사님, 박주민 간사님, 김경율 증인이라는 사람이 이런 발언을 한 걸 알고 지금 증인 채택을 했습니까? 그걸 좀 물어보고 싶어요. 저는 이게 단순히 무슨 어떤 특정 의원을 뭐라고 좀 상소리했다고 그래서가 아니고, 이렇게 일방적이고 그다음에 무책임하게 발언을 공적으로 하는 사람을 국회 증언대에 세워서 우리 아까운 의정 에너지를 소비한다는 게 이게 타당한 일이냐. 저도 그 전까지는 그런 생각을 안 해 봤어요. 그런데 이런 발언을 듣고 나니 이걸 알면서도 우리가 증인 채택하는 게, 이게 위원회가 그런 결정을 할 수 있겠습니까? 조수진 위원님도 한번 생각해 보세요. 이런 발언 하는 사람들을 상대방이라고 생각, 조수진 위원에 대해서 이런 식으로 공개적으로 상소리하고 이런 사람을 우리가 어떤 정파적인 이유로 증인 채택해서 막 한 시간 두 시간씩 발언 기회를 주고 이렇게 해서 과연 우리 상임위가 스스로에게 권위가 유지되겠느냐…… 유상범・박주민 간사님 고생하셨는데 저도 웬만하면 간사 간 합의에 대해서 이의 제기해 본 적이 없습니다, 제가 국회 활동하면서. 거의 한 번도 저는 경험이 없어요. 그런데 만약에 두 분이 이걸 알고, 이런 것을 전제하고 합의를 하셨다 그러면 저는 그것은 다시 토론해 봐야 된다고 생각하고 모르고 하셨다면 다시 협의를 해 주시기 바랍니다. 이상입니다.
더불어민주당	위원장	박광온	유상범 간사님.
국민의힘	위원	유상범	그러면 간사 간 협의 안 된 걸로 합니까? 결정하세요.
국민의힘	위원	조수진	결정을 빨리해 주세요.
국민의힘	위원	유상범	결정하시고, 그다음에……
더불어민주당	위원	송기헌	다시 협의하세요, 다시.
국민의힘	위원	유상범	인사청문회…… 아니, 임은정・한동수는 검사 신분에도 공개적으로 대통령후보에 대해 비난하면서 정치적 중립 의무를 위반했다는 비난을 무수히 받은 사람이에요.
더불어민주당	위원	송기헌	아니, 욕한 것하고는 다르잖아요, 욕한 것하고는.
국민의힘	위원	유상범	아니, 가만있어…… 들어 보세요. 그랬던 사람들, 욕한 것보다 더 심하지요, 공직자가. 공개적으로 그렇게……
더불어민주당	위원	송기헌	욕은 안 했잖아. 비난한 것은 비난한 거고……
국민의힘	위원	유상범	그것조차도, 제가 이것은 적절치 않기 때문에 반대를 했었습니다. 합의가 안 된 사안입니다. 그럼에도 불구하고 인사청문회를 제대로 해야 된다는 상황 때문에 박주민 간사와 하루 종일 수없는 통화를 통해서 이뤄 놓은 것을 지금 와 가지고 또 내부 조율이 안 됐다 그러네요. 지금 바꾸……
더불어민주당	위원	김종민	김경율 씨 빼고 합시다, 빨리 그러면.
더불어민주당	위원	송기헌	김경율 씨 빼고 합시다, 그러면 3명으로 해서.
국민의힘	위원	유상범	그러면 합의 없는 걸로 하고 저희는……
더불어민주당	위원	송기헌	3명으로 하고 합시다. 3명으로.
국민의힘	위원	조수진	합의 결렬로 보시지요.
국민의힘	위원	유상범	지금 민주당이 간사 간 합의를……
더불어민주당	위원	송기헌	청문회를 안 하려는 거야, 그러면?
국민의힘	위원	유상범	아니, 그러면 마음대로 해요. 본인들이 안 하자고 하는 거잖아요, 지금. 청문회 안 하려고 하시는 거예요?
더불어민주당	위원	송기헌	청문회 안 하고 싶어요? 증인 3명으로 하자고, 증인 3명으로.
국민의힘	위원	조수진	청문회 안 하려는 쪽이 어느 쪽이냐고요.
더불어민주당	위원	송기헌	김경율 다른 사람으로 바꿔서 해, 바꿔서.
국민의힘	위원	조수진	뭐가 그렇게 무서우시냐고.
더불어민주당	위원	송기헌	김경율을 다른 사람하고 바꿔서 하자고.
국민의힘	위원	조수진	뭐가 그렇게 무섭냐고요.
더불어민주당	위원	송기헌	아니, 김경율을 다른 사람으로 바꿔서 하자고.
국민의힘	위원	조수진	뭐가 그렇게 무섭습니까?
더불어민주당	위원장	박광온	정숙하세요. 정숙하세요. 송기헌 위원님, 조수진 위원님 잠깐만요. 발언권을 얻어서 말씀하시고요. 말씀 다 끝나셨습니까?
국민의힘	위원	유상범	아니, 말할 시간을 안 주시네요. 그래서 민주당 위원님들께서, 지금 반복적으로 이런 일이 벌어집니다. 박주민 간사와 합의를 하면 위원들이 반대해서 안 된다…… 반복적으로 그래요. 간사 간 협의는 뭡니까? 기본적으로 위임입니다. 위원들의 위임을 받은 간사가 협의를 하는 거예요. 그러면 결정에 대해서 이런 식으로 반복적으로, 합의된 것을 위원들이 뒤집는 것이 반복된다면 간사 간 협의를 왜 합니까? 의미가 없지 않습니까? 저희도 분명히 현직 검사 신분이고 그런 많은 문제점이 있음에도 불구하고 제가 지속적으로 반대를 하다가 마지막에 받아들여 줬습니다. 그러면 그 협의에 대해서, 합의에 대해서 민주당 안에서도 내부 의사 조율이 끝났어야지요. 이 자리에 와 가지고 분명히 이렇게 합의를 한다고 했는데 또 다른 반대의 목소리를 또 낸다 그러면 앞으로 민주당과 간사 간 합의는 할 수가 없는 겁니다.
더불어민주당	위원	송기헌	원내대표하고도 깨는데 뭘……
더불어민주당	위원	김종민	아니, 그런데 이것 알고서 합의한 겁니까? 추천한 겁니까?
국민의힘	위원	유상범	아니, 원내대표가 깼다고 비난하잖아요. 똑같은 얘기 아닙니까?
더불어민주당	위원	김종민	아니, 이 발언을 알고 추천한 거냐고……
국민의힘	위원	전주혜	그것을 왜 우리한테 물어봐요? 박주민 간사한테 물어보세요.
국민의힘	위원	조수진	박주민 간사하고 협의하세요.
국민의힘	위원	유상범	그것 잘못됐다고 비난하면 이것도 하지 말아야지요. 비난하면서 이걸 왜 합니까?
더불어민주당	위원	김종민	나 유상범 간사님 멘탈이 궁금해. 이것 알고 추천한 거예요?
더불어민주당	위원장	박광온	잠깐만요, 김종민 위원님.
국민의힘	위원	박형수	박주민 간사님 한번 얘기해 보시지요.
더불어민주당	위원장	박광온	발언 끝나셨습니까, 간사님?
국민의힘	위원	유상범	예.
더불어민주당	위원장	박광온	김영배 위원님.
더불어민주당	위원	김영배	김영배입니다. 제가 김경율 씨가 뭐라고 했는지를 확인해 보니까 ‘윤호중 실외기’라고 했네요, ‘실외기’. 이것 쓰레기라는 소리 같은데…… 그다음에 ‘본인 김경율은 사실 확인을 제대로 하지 않고, 특정 단어로 확증편향을 가진 후 최강욱 으원놈 아…… 아니…… 죄송합니다. 으원님을 매도 호도하려 하였습니다. 다음부터는 이런 일이 계속될 수 있도록 노력하겠습니다’, ‘맨날 술자리에서 김경율 ㄱㅅㄲ라 한다며’, ‘고마웡 오래 살께’라고 글을 올리셨어요. 뭐 그럴 수 있는데요. 누구나 표현의 자유가 있고 대한민국이 민주공화국이기 때문에 권리가 있습니다. 그런데 우리가 적어도 국회에서, 다른 데도 아니고 법사위에서 공직후보자의 검증을 하는 기관의 회의를 할 준비를 하고 있는 것 아닙니까? 한동훈 후보자의 증인을 국민의힘에서 이런 분을 증인으로 신청을 했다고 하면 한동훈 후보자에게 무슨 도움이 됩니까?
국민의힘	위원	유상범	받은 분이 말씀을 하셔야지요.
더불어민주당	위원	김영배	그러니까 민주당에서 간사 협의 간에 이런 여러 이야기가 있을 수 있지만 법사위원, 우리 동료 위원에 대해서 ‘ㄱㅅㄲ’, ‘으원놈’ 이렇게 표현을 하고 있는 분에 대해서 문제 제기하는 게 정당한 것 아닌가요? 이런 사람을 굳이 불러야 됩니까? 그게 한동훈 후보자한테 대단히 도움이 되는 모양이지요? 그러니까 저는 우리가 좀 상식적으로 했으면 좋겠어요. 그리고 사실 아까 검수완박 단독 처리 말씀하시지만, 저는 제일 황당했던 게 의원총회에서 결의를 하신 이후에 ‘이재명 보호법이다’ 이렇게 얘기하는 것 보고 제가 깜짝 놀랐어요. 이재명 보호법을 의총에서 추인을 하셨다는 말입니까? 그때는 몰랐고 그러면 추인하고 나서 알았다는 말입니까? 앞뒤 논리를 맞춰 가지고 말씀을 하셔야지요. 미안하면 미안하다, 그때 잘못 생각했으면 잘못 생각했다 솔직하게 말씀하시는 게 맞지…… 그러니까 단독 처리는 저희들도 하면 단독 처리 하고 싶어서 하겠습니까? 그러니까 좀 저는 상식에 맞게 하면 좋겠습니다. 윤석열 정부가 지금 초기부터 왕장관이라고 하는 분 인사청문회를 앞두고 이렇게 비상식적으로 증인 채택에서부터 합의가 안 되는 이 상황이 참 참담합니다. 이런 분을 국회에 부른다는 것이 부끄럽지 않나 싶습니다.
국민의힘	위원	박형수	위원장님.
국민의힘	위원	조수진	위원장님.
더불어민주당	위원장	박광온	박형수 위원님.
국민의힘	위원	박형수	간사 간 합의한 사항에 대해서 아까 유상범 간사도 얘기를 했습니다마는 그것을 일일이 여기 와서 다시 얘기하기로 하면 간사 간 합의는 왜 하는 겁니까, 도대체? 저는 제 시간을 할애해서 박주민 간사님한테 한번 발언 기회를 드리고 싶어요. 어떤 경위를 거쳐 가지고 이 합의를 해서 지금 다시 이런 얘기가 나오는지 제 발언시간을 쪼개서 드릴 테니까 답변을 한번 해 주시고요.
더불어민주당	위원	박주민	제 발언시간 제가 얻어서 좀 얘기하겠습니다.
국민의힘	위원	박형수	 잠깐만요. 그렇게 하시지요. 그리고 방금 검수완박 이 법안에 대해서 말씀하시는데 거기에 대해서 제가 한 말씀 드리지 않을 수가 없네요. 이 검수완박 법안이 어떻게 해 가지고 나온 것입니까? 민주당에서 일체의, 검찰의 보완수사권 전체를 다 박탈하겠다라는 법안을 냈어요. 그래서 우리는 정말로 그 협박에 못 이겨서 합의를 한 것입니다. 일체의 검찰 수사권을 다 박탈하겠다고 해서, 검찰의 보충수사권까지 다 없애겠다고 그랬어요. 여죄 수사도 다 없애겠다고 그랬어요. 그래서 저희들은 어쩔 수 없이 그 보충수사권이라도 지키기 위해서 의장의 중재안을 받아들일 수밖에 없었던 상황입니다. 그것을, 민주당의 일방적인 논리를 지금 여기 와서 또다시 주장한다고 그러면 마찬가지로 우리도 그 얘기를 계속 할 수밖에 없어요. 그리고 지난주에 우리 법사위에서 어떤 일들이 벌어졌습니까? 그 상황을 다시 다 복기한다고 그러면 저희들도 여기서 밤새도록 얘기해도 시간이 모자랄 상황이에요. 그래서 더 이상 법사위에서 그 부분에 대해서 얘기하는 것은 서로 소모전이다라고 저는 생각을 하고, 이 인사청문회에 대해서 빨리 진행을 해야 된다…… 그리고 그 인사청문회에 대해서는 우리 측 입장은 이미 다 얘기를 했습니다. 그쪽에서 우리가 받아들일 수 없는 증인들을 제시하셨잖아요. 임은정․한동수, 이분들은 어떤 분이냐, 우리 측 입장으로는 윤석열 당선인이 검찰총장 시절부터 끊임 없이 검찰총장에 반기를 들었던 분들이에요. 이런 분들도 우리가 받아들였어요. 그래서 그 반대급부로 이 두 분에 대해서, 김경율 회계사와 박영진 검사에 대해서 받아들인 거잖아요. 이렇게 간사 간에 서로 협의를 했으면 거기에 따라야 되는 것이지 어떻게 해 가지고 다시 또 여기서 이런 얘기가 나오는지 모르겠습니다. 저는 박주민 간사님한테 좀 얘기를 듣고 싶습니다.
국민의힘	위원	조수진	저 한 말씀만 좀 드리고 먼저 자리 뜨겠습니다.
더불어민주당	위원장	박광온	잠깐만 기다려 주세요, 돌아가면서 하시게. 자, 다 말씀하셨나요? 간사님, 하실 거예요? 아니면 잠시 정회하고 조율하시겠어요? 이렇게 하겠습니다. 그러면 10분간 정회를 하겠습니다. 10분간 정회하고 10시 40분에……
국민의힘	위원	조수진	정회하지 마시고요.
국민의힘	위원	전주혜	위원장님, 이것 너무 독단적이지요.
국민의힘	위원	조수진	위원장님!
더불어민주당	위원장	박광온	잠깐만요.
더불어민주당	위원	김남국	정회하고 조금 이야기 나누시는 게 좋을 것 같습니다.
국민의힘	위원	전주혜	아니, 우리는 그러면 오늘 왜 모였습니까?
국민의힘	위원	조수진	위원장님, 1분만 주십시오.
더불어민주당	위원	김남국	정회하고 하시는 게 좋을 것 같습니다, 위원장님.
국민의힘	위원	조수진	1분만 주세요.
더불어민주당	위원	김남국	똑같은 이야기……
국민의힘	위원	전주혜	아니, 왜 모였어요, 오늘?
더불어민주당	위원장	박광온	아니, 해법……
국민의힘	위원	조수진	아니, 더불어민주당 간사와 더불어민주당 위원들 사이 이야기를 왜 전체회의에서 우리가 다 해야 됩니까?
더불어민주당	위원장	박광온	아니, 그러니까 정회를 하겠다고요.
국민의힘	위원	조수진	더불어민주당 간사에 대해서 신임 여부를 물어 오세요.
국민의힘	위원	전주혜	결국은 청문회 하지 말자는 것 아닙니까?
국민의힘	위원	조수진	청문회 안 하겠다는 것 아닙니까?
더불어민주당	위원장	박광온	10시 40분에 회의를 속개하겠습니다. 정회하겠습니다.
더불어민주당	위원장	박광온	의석을 정돈해 주시기 바랍니다. 회의를 속개하겠습니다.
더불어민주당	위원	송기헌	박주민 간사님이 말씀하세요.
더불어민주당	위원장	박광온	예?
더불어민주당	위원	송기헌	박주민 간사님이 말씀하시라고요.
더불어민주당	위원장	박광온	간사님 뭐 얘기하시나요?
더불어민주당	위원	박주민	특별히 뭐……
더불어민주당	위원장	박광온	얘기 안 하시지요?
더불어민주당	위원	박주민	예.
국민의힘	위원	전주혜	빨리 의결해 주십시오, 위원장님.
더불어민주당	위원장	박광온	더 이상 의견이 없으므로 의결하겠습니다. 의사일정 제2항 국무위원후보자(법무부장관 한동훈) 인사청문회 실시계획서 변경의 건은 나눠 드린 안과 같이 인사청문회를 5월 9일에 실시하는 것으로 변경하고자 하는데 이의 있습니까? 없으므로 가결되었음을 선포합니다.
더불어민주당	위원장	박광온	다음은 의사일정 제3항 국무위원후보자(법무부장관 한동훈) 인사청문회 증인・참고인 출석요구의 건을 상정합니다.
더불어민주당	위원	송기헌	위원장님, 의사진행발언 잠깐만…… 그 전에, 결의하기 전에. 결의하시면 끝날 거잖아요, 그렇지요?
더불어민주당	위원장	박광온	예.
더불어민주당	위원	송기헌	결의하시면 끝날 거지요, 오늘?
더불어민주당	위원장	박광온	꼭 하실 거예요? 꼭 하세요? 꼭 하셔야 돼요?
더불어민주당	위원	송기헌	예, 의사진행 위원장님한테……
더불어민주당	위원장	박광온	짧게 해 주세요. 짧게.
국민의힘	위원	전주혜	위원장님, 결의해 주십시오.
더불어민주당	위원	송기헌	아니, 그것은뭐하는거니까, 저희들 다 동의하고 하기로 했으니까 걱정하지 마시고요.
국민의힘	위원	유상범	걱정 안 해요.
국민의힘	위원	전주혜	누가 걱정을 해요?
더불어민주당	위원	송기헌	걱정을 많이 하셔서 그렇지, 뭐. 위원장님, 제가 인사청문회도 20대부터 여러 차례 하고 있는데 이번처럼 후보자나 그쪽에서, 후보자 쪽에서 자료를 제공하지 않는 건 처음인 것 같습니다. 한동훈 법무부장관후보자 그쪽은 국회 자료 요구를 거부하거나 일괄 회피하고 있어서 실제 인사청문회의 검증을 무력화하고 있고 청문회 받는 것을 정말 두려워하고 있지 않나 생각합니다. 예를 들어서 군법무관으로 근무했던 시절에 어떻게 근무했는지 알고 싶어서 자료 제출을 요구했는데 군 관련 자료 일체를 본인 스스로 제출을 거부해서 검증을 하지 못하도록 막고 있습니다. 본인이 동의하면 할 수 있는 건데도 하고 있지 않습니다. 과거 조국 전 장관 일가 수사를 총괄한 후보자가 법사위가 교육부에 요구한 자료 중에서 자녀・배우자와 관련된, 교육에 관련된 자료 일체를 제출을 거부해서 하나도 제출이 안 되고 있습니다. 또 저희들이 관용차나 아니면 배우자의 차적조회 등등 때문에 자료 제출을 항상 청문회부터…… 하고 있는데 여기도 과태료・범칙금 납부내역 일체 제출을 거부하고 있습니다. 더군다나 최근 언론에 보도된 배우자 위장전입 소명을 위한 핵심 자료가 경기도청이 보관하고 있음에도 불구하고 후보자가 제출을 거부해서 진실을 숨기려 하고 있습니다. 특히 한 후보자의 배우자께서 그리고 처가가 모두 법조인 출신이기 때문에, 향후 법무부장관이기 때문에 또 특히 이해관계 충돌 가능성이 매우 높아서 배우자께서 김앤장 법률사무소에서 활동한 내역을 제출해 달라고 했는데 이것도 전혀 제출하지 않고 거부하고 있습니다. 청문회를 한다고 하면서 실질적으로 청문회를 회피하려고 하는 것이 아닌가 생각합니다. 이런 데 대해서는 위원장님께서 단호하게 후보자 쪽에 말씀하셔서 필요한 자료를 제출할 수 있도록 요구해 주시기를 부탁드리겠습니다. 그렇지 않으면 청문회가 제대로 진행될 수 없다는 게 분명하다고 생각합니다. 제가 구체적으로 거부된 내용을 다 말씀드리고 싶지만 시간 관계상 할 수 없는데요. 제가 적어온 게 5장 정도 됩니다. 하나도, 일괄해서 제c출하지 않고 있습니다. 가끔 금융에 관계된 거나 신변에 관계된 거나 제출을 안 할 수는 있는데 지금처럼 전혀 일괄해서 제출하지 않는 건 처음인 것 같습니다. 도대체 국회를 무시하는 거라는 것 아니겠습니까? 시작할 때부터, 시작하기 전부터 국회를 무시하는 발언을 하더니 청문회를 하는 과정에서도 보면 국회를 분명히 무시하고 응하지 않고 있습니다. 단호한 조치를 하지 않으시면 청문회가 제대로 될 수 없습니다. 저희가 청문회를 하지 않으려고 한다고요? 누가 청문회를 거부하고 걱정하는지 다 알 것 같습니다.
더불어민주당	위원	김종민	심각하네, 정말.
더불어민주당	위원	김영배	압수수색을 해야 되는 거예요.
더불어민주당	위원장	박광온	자료 제출과 관련해서는……
국민의힘	위원	유상범	아이고, 확실히 야당 됐다고 하시네.
더불어민주당	위원	김종민	아유, 간사님 뭐해요? 얘기좀 해, 내라고.
더불어민주당	위원장	박광온	잠깐만요, 위원장이 말하고 있는데 잠깐만 기다려 주십시오.
더불어민주당	위원	김종민	죄송합니다.
더불어민주당	위원장	박광온	자료 제출과 관련해서는 정말로 원만한 청문회를 통해서 공직후보자로서 꼭 필요한 자질과 역량과 도덕성을 검증하기 위해 반드시 요구되는 것들입니다. 후보자와 또 인청을 준비하는 팀에서 법에 위반되지 않은 것들은 충실하게 제출해 주실 것을 제가 요청드리고요. 이것 관련해서 우리 간사님들께서도 충분히 협의를 해 주셔서 자료 제출이 원만하게 이루어질 수 있도록 이렇게 위원회가 노력해 주기를 바랍니다. 다음은 의사일정 제3항……
더불어민주당	위원	김영배	위원장님, 제가 위원장님께 질문이 있는데요.
국민의힘	위원	전주혜	위원장님, 의결해 주십시오.
더불어민주당	위원장	박광온	예, 잠깐만 기다려 주세요. 말씀하세요.
더불어민주당	위원	김영배	만약에 위원장님이 그런 말씀을 하셨는데도 자료 제출이 안 되면 조치가 필요하지 않을까 싶은데 위원장님께서 조치를 좀…… 그러니까 예를 들면 우리가 위원회 결의로 지금 제출되지 않은 자료들에 대해서, 만약에 아까 송기헌 위원님도 말씀하셨습니다만 국민의힘에서도 아마 자료 제출을 요구한 게 있을 테니까 공통으로 좀 추려서 꼭 제출받아야 될 자료에 대해서는 위원회 결의로 제출하라 저는 이렇게 요구를 하는 게 좋을 것 같습니다. 왜냐하면 장관후보자의 자료 제출이 이런 식으로 거부당하고 하면은 사실 청문회를 하나 마나지 않습니까? 위원회 하나 마나잖아요. 그러니까 정부 출범을 앞두고, 왕장관이라는데 왕장관답게 좀 당당하게 국민들한테 이렇게 자기 이야기를 하는 게 좋지 않습니까? 남 수사만 하다가 막상 자기 신상에 대해서 이렇게 숨기려고 하는 의도가 보인다, 이것은 좀 문제가 있지 않습니까? 그러니까 당당하게 좀 하는 게 좋을 것 같아서 저는 위원회 의결로 제출하라, 이 목록을 필수 목록에 대해서는 요구를 하는 게 좋을 것 같습니다. 위원장님께서 조치를 좀 해 주셨으면 좋겠습니다.
국민의힘	위원	유상범	위원장님!
더불어민주당	위원장	박광온	잠깐만, 잠깐만요. 이게 국회법에서는 위원회에서 요구를 하면 그게 사실상 위원회 의결과 같은 효력을 갖고 있는 것으로 제가 알고 있는데, 별도의 의결이 필요하거나 그러지 않잖아요?
더불어민주당	위원	김영배	그러면 제가 시간이 남았으니까 마이크 좀……
국민의힘	위원	유상범	위원장님!
더불어민주당	위원장	박광온	잠깐만, 유상범 간사님.
더불어민주당	위원	김영배	제가 시간이 남았으니까요. 예전에 예를 들면 참여정부 때 김두관 장관 같은 경우도 그 당시에 상임위에 출석을 장관이 못 했습니다. 왜냐하면 위원회에서 위원회 의결로 장관 오지 말라고 그랬거든요. 그 정도로 장관이라 하더라도, 임명된다 하더라도 상임위에 못 나올 수도 있습니다. 그러니까 이것은 우리 위원들이 사실 국회의 권위를 지키고 대한민국의 권위를 지키는 것 아닙니까? 그러니까 기본이 안 되어 있는 경우는 우리가 지적을 하고 또 바로잡는 게 저는 나라를 위해서 맞다고 생각해요. 그렇기 때문에 아까 송기헌 위원님도 말씀하셨지만 저도 자료 요구한 게 많은데 안 온 게 많거든요. 그런데 그냥 궁금해서 하는 게 아니고 기본적인 법무부장관, 특히 인사검증권까지 갖게 되고 검찰을 지휘하는 지위에 있는 장관이기 때문에 이것은 그냥 이렇게 개인의 신상이 궁금해서 물어보는 게 아니지 않습니까? 특히나 조국 사태 이야기를 하지만 아이들 아르바이트 한 곳까지 다 가서 뒤져 가지고 압수수색을 칠십몇 번 했던 당사자 아닙니까? 자기 걸 왜 안 냅니까, 도대체? 그것 보니까 랩톱(laptop) 몇십 대를 기부받아 가지고 딸 이름으로 기부를 했다고 하던데 저는 이것 심각하다고 생각합니다. 위원장님, 조치해 주시기 바랍니다.
